name,IVIS component 1,IVIS component 2,IVIS component 3,IVIS component 4,Class
0260.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0261.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0277.png,-2.1464772,2.4865856,-5.7952433,-0.8234163,Healthy-pavement
0280.png,2.9245498,7.4359684,-3.6066022,3.1393936,G-Longitudinal
0281.png,-1.1975775,-0.18488573,-1.917844,-1.0695797,Healthy-pavement
0282.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0287.png,2.7005315,4.852741,-5.9201884,-3.3884199,G-Transverse
0289.png,0.89458144,10.464174,-4.2415676,-1.493193,G-alligator
0291.png,4.120256,5.1842523,-0.6420894,-3.7220888,G-Transverse
0296.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0297.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0298.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0299.png,4.234169,4.9682174,-2.4141784,-1.4260364,G-Transverse
0300.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0301.png,-1.6122797,11.692649,-3.9753077,-0.1601499,G-alligator
0303.png,-3.4327486,2.5853636,-4.118624,2.265408,Healthy-pavement
0304.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0305.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0306.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0307.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0309.png,0.42577118,3.571305,-6.4987526,1.7197177,Healthy-pavement
0310.png,2.9924815,5.42216,-4.2446218,3.5259607,Healthy-pavement
0312.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0314.png,-2.6670556,3.791038,-4.211529,-3.984208,G-Longitudinal
0316.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0319.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0323.png,-4.304737,10.5699625,-0.23408099,4.746776,G-Transverse
0327.png,-2.3165336,11.025137,-0.14083357,6.3546543,G-Transverse
0328.png,-1.814705,4.0253735,-5.9404554,3.1582358,Healthy-pavement
0333.png,-0.18351877,4.9359083,-2.576065,1.7861761,Healthy-pavement
0334.png,-5.184361,8.929732,-2.729059,0.68700105,G-Transverse
0336.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0339.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0345.png,-1.2857181,2.6879861,-7.2017365,2.4513137,G-Longitudinal
0346.png,-1.5471509,3.9449131,-2.2574248,2.3073764,Healthy-pavement
0351.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0353.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0355.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0356.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0357.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0361.png,2.4682105,10.127965,-1.8114291,1.4682004,G-Transverse
0364.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0365.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0366.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0367.png,2.6136925,9.98576,-1.5610293,2.9597468,G-Transverse
0373.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0376.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0380.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0381.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0382.png,2.2051864,5.5146775,-3.5881927,2.286171,Healthy-pavement
0384.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0385.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0388.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0389.png,-3.877819,12.329652,-2.1159823,1.0210253,G-alligator
0394.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0395.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0398.png,-2.4954414,2.5379095,-4.705085,-4.0181394,G-Transverse
0399.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0400.png,-0.30979645,5.7673388,-6.514492,4.7466455,G-Longitudinal
0401.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0402.png,-0.10428819,3.533646,-1.937949,-1.2060755,Healthy-pavement
0403.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0404.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0406.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0407.png,1.8969527,5.468432,-3.4506385,1.7204487,Healthy-pavement
0410.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0412.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0416.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0417.png,-0.98353237,6.0578327,-1.6440648,1.4708629,Healthy-pavement
0421.png,4.422193,4.859725,-1.7805219,-0.27383238,G-Transverse
0437.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0438.png,4.208767,6.2945085,-2.4819877,-2.6289077,G-Transverse
0442.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0444.png,-2.385988,3.3188117,-0.5912412,-4.5425887,G-Longitudinal
0445.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0446.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0451.png,-1.2934632,6.287178,-0.32102153,2.724826,Healthy-pavement
0456.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0457.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0461.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0465.png,-2.0664892,4.028449,2.4900765,-2.6137023,G-Longitudinal
0469.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0471.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0472.png,0.5598498,5.2459145,-0.40278247,-0.44952714,Healthy-pavement
0477.png,2.9026976,6.244669,-5.2534013,-2.8750954,G-Transverse
0480.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0481.png,2.9922192,7.759151,-5.401146,1.5752311,G-Transverse
0483.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0485.png,-3.788364,9.961327,-1.2148507,5.6482205,G-Transverse
0487.png,-2.0897093,2.8049357,0.25597578,-1.1639266,Healthy-pavement
0489.png,-4.2534456,3.896013,-4.310396,1.9799415,G-Longitudinal
0490.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0492.png,3.6898458,4.4016633,-4.3801117,-2.2255218,G-Transverse
0497.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0499.png,-2.5846632,12.596021,-2.9516394,0.9069111,G-alligator
0504.png,-5.3765755,6.260605,-0.46540657,2.416564,G-Transverse
0505.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0506.png,1.0159413,11.084279,-1.5698783,3.862224,G-Transverse
0507.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0508.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0509.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0513.png,-2.285377,6.426022,-5.581594,5.295453,G-Longitudinal
0515.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0518.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0519.png,-1.9883913,2.6153088,3.292116,-1.1028785,G-Longitudinal
0521.png,1.836235,6.238921,-3.408804,2.517594,Healthy-pavement
0526.png,-4.4799414,8.987912,-1.6789914,5.261753,G-Transverse
0530.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0543.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0546.png,-1.3984339,3.1194851,-0.96467614,-0.048177052,Healthy-pavement
0549.png,2.6567876,4.3044415,-1.8466575,2.7515686,G-Longitudinal
0550.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0552.png,1.6820011,4.495422,-1.7419983,-3.7663147,G-Transverse
0556.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0557.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0558.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0560.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0562.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0563.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0565.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0570.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0575.png,-5.4514875,8.2133,-0.1089214,0.8410474,G-Transverse
0576.png,0.49211958,2.7502725,-6.775809,-3.5385084,G-Transverse
0579.png,-5.230089,7.6436753,-0.50276834,2.5685985,G-Transverse
0582.png,1.7076954,6.8523846,-5.299079,-3.2574904,G-Transverse
0591.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0592.png,1.6136447,4.563859,-3.8701146,2.2716045,Healthy-pavement
0594.png,-0.44526997,11.964037,-1.3249978,7.0994115,G-Transverse
0596.png,3.0990891,6.4611783,-3.8787513,2.3697472,G-Longitudinal
0601.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0602.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0603.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0604.png,-0.6815212,2.5615675,-8.166202,3.5845537,G-Longitudinal
0605.png,-2.8772633,12.636078,-2.8320177,0.90183073,G-alligator
0607.png,-4.534473,5.619227,-4.292908,-0.20259541,G-Longitudinal
0608.png,-2.6479723,12.247783,-3.3541112,0.50360173,G-alligator
0611.png,-0.0068561425,11.473146,-4.533409,-0.5241324,G-alligator
0614.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0615.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0621.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0623.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0626.png,1.5152574,6.426306,-7.419322,5.586717,G-Longitudinal
0627.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0628.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0629.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0634.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0635.png,0.04505776,5.882374,-0.038694993,2.0568693,Healthy-pavement
0641.png,-1.694324,2.8169954,1.3374559,-2.2659798,G-Longitudinal
0643.png,-1.3453465,8.054633,0.3666343,2.8317924,G-Longitudinal
0644.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0647.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0649.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0650.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0654.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0657.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0665.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0666.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0670.png,-4.7000065,4.8692183,-0.70344883,-1.4511559,G-Longitudinal
0671.png,-2.4195776,1.9648709,-7.2340207,0.6044361,G-Longitudinal
0674.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0679.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0680.png,-3.116543,3.5822232,-2.1365385,-3.8953207,G-Longitudinal
0684.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0685.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0687.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0689.png,-1.6054791,6.7125287,-3.4391518,2.2085538,Healthy-pavement
0690.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0692.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0693.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0698.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0699.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0700.png,-0.671778,1.9618256,-7.020385,2.7274642,Healthy-pavement
0701.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0702.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0704.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0707.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0711.png,-5.512638,7.577899,-2.099197,1.274141,G-Transverse
0712.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0716.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0717.png,-1.1321692,5.590648,-3.4223492,4.394198,Healthy-pavement
0721.png,-3.269023,10.450034,-0.04273743,6.289527,G-Transverse
0724.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0725.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0727.png,-4.87069,9.064332,-1.7631749,1.790754,G-Transverse
0731.png,-3.0508857,5.790797,-5.256542,0.41697466,G-Longitudinal
0732.png,-2.7822444,12.285475,-2.5670464,0.257233,G-alligator
0733.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0734.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0735.png,2.4099362,5.665183,-6.283277,-2.4004478,G-Transverse
0738.png,-2.3309023,7.011329,-2.8027751,2.921304,Healthy-pavement
0739.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0740.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0741.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0742.png,1.6918142,7.988454,-6.2794447,-0.9315104,G-Longitudinal
0743.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0746.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0747.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0749.png,3.8442013,4.9565864,-1.6214987,-3.4109578,G-Transverse
0751.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0752.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0753.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0756.png,2.7024784,6.503443,-5.4882307,-2.1548946,G-Transverse
0757.png,-2.1201448,0.01563602,-5.5565867,-2.9739702,G-Longitudinal
0760.png,-4.3919277,4.8402944,-1.7059786,-2.9127715,G-Longitudinal
0761.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0763.png,-2.1240249,4.7730646,-0.7727895,1.9989766,Healthy-pavement
0765.png,-2.4479048,6.0057974,-1.2837075,-3.3824527,G-Longitudinal
0768.png,-3.477996,10.618136,-0.34470573,5.861263,G-Transverse
0769.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0771.png,-0.8553556,11.832454,-4.1503606,-0.65728855,G-alligator
0772.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0774.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0776.png,-1.9936997,2.6637995,0.23273233,-0.06267743,Healthy-pavement
0777.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0781.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0783.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0786.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0787.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0788.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0794.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0795.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0801.png,3.2184932,8.357234,-4.9824424,3.3826318,G-Longitudinal
0804.png,-1.8043553,2.8539686,1.8327193,-1.8751541,G-Longitudinal
0811.png,0.6483485,2.821886,-7.344671,-3.1263144,G-Transverse
0813.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0814.png,-3.2356126,3.4523869,-0.32739744,-3.4853935,G-Longitudinal
0816.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0818.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0823.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0824.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0827.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0831.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0834.png,0.6398997,5.4453983,-4.6696873,3.6697538,Healthy-pavement
0840.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0846.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0852.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0855.png,-0.047495164,2.9025323,0.22215475,-0.5161066,Healthy-pavement
0856.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0861.png,0.33925742,3.7787416,1.1010514,-1.3949213,G-Longitudinal
0864.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0865.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0868.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0870.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0871.png,-5.090759,4.738864,-0.50732654,0.36513183,G-Transverse
0873.png,-1.2874444,2.2384312,-5.2484393,-1.3877839,Healthy-pavement
0874.png,-3.9201572,10.874721,0.5234534,5.8563704,G-Transverse
0875.png,-2.8463566,3.6916828,-4.4428267,2.7988875,Healthy-pavement
0877.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0883.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0889.png,-1.8267466,4.3013473,-7.960987,3.8135276,G-Longitudinal
0891.png,-2.1281228,-0.12106677,-4.5361876,-2.1312976,Healthy-pavement
0896.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0900.png,0.124642834,10.24194,-4.844549,-0.29707307,G-alligator
0905.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
